2026-06-18 15:13:00,399 INFO Pushing 7747 rows from data/consolidated_fullenrich_seeqe.csv
(eval):1: command not found: setsid
2026-06-18 15:22:01,229 INFO Pushing 7747 rows from data/consolidated_fullenrich_seeqe.csv
2026-06-18 18:11:57,740 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 2/3)
2026-06-18 18:22:18,798 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 3/3)
2026-06-18 18:22:18,799 ERROR Seeqe callback failed for https://www.linkedin.com/in/srini-ramakrishnan after 3 attempts: Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)"))
2026-06-18 18:22:18,843 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 1/3)
2026-06-18 18:22:20,850 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 2/3)
2026-06-18 18:22:25,730 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 3/3)
2026-06-18 18:22:25,778 ERROR Seeqe callback failed for https://www.linkedin.com/in/sriniganta after 3 attempts: Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)"))
2026-06-18 18:22:25,825 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 1/3)
2026-06-18 18:22:56,526 INFO Progress 6800/7747 — posted: 6798, failed: 2
2026-06-18 18:26:11,474 INFO Progress 6900/7747 — posted: 6898, failed: 2
2026-06-18 18:29:37,532 INFO Progress 7000/7747 — posted: 6998, failed: 2
2026-06-18 18:32:30,921 INFO Progress 7100/7747 — posted: 7098, failed: 2
2026-06-18 18:35:40,926 INFO Progress 7200/7747 — posted: 7198, failed: 2
2026-06-18 18:38:59,093 INFO Progress 7300/7747 — posted: 7298, failed: 2
2026-06-18 18:42:10,844 INFO Progress 7400/7747 — posted: 7398, failed: 2
2026-06-18 18:45:55,659 INFO Progress 7500/7747 — posted: 7498, failed: 2
2026-06-18 18:49:23,531 INFO Progress 7600/7747 — posted: 7598, failed: 2
2026-06-18 18:52:51,564 INFO Progress 7700/7747 — posted: 7698, failed: 2
2026-06-18 18:54:26,799 INFO Progress 7747/7747 — posted: 7745, failed: 2
2026-06-18 18:54:26,799 INFO Done — posted: 7745, failed: 2
