2026-06-18 13:58:18,933 INFO Pushing 11740 rows from /Users/manikaransingh/Downloads/Email ID Input sheet - Input.csv
2026-06-18 16:42:35,833 INFO Progress 7400/11740 — posted: 7400, failed: 0
2026-06-18 16:45:16,146 INFO Progress 7500/11740 — posted: 7500, failed: 0
2026-06-18 16:47:43,545 INFO Progress 7600/11740 — posted: 7600, failed: 0
2026-06-18 16:50:23,596 INFO Progress 7700/11740 — posted: 7700, failed: 0
2026-06-18 16:52:48,165 INFO Progress 7800/11740 — posted: 7800, failed: 0
2026-06-18 16:55:10,959 INFO Progress 7900/11740 — posted: 7900, failed: 0
2026-06-18 16:57:36,931 INFO Progress 8000/11740 — posted: 8000, failed: 0
2026-06-18 17:00:33,017 INFO Progress 8100/11740 — posted: 8100, failed: 0
2026-06-18 17:03:20,728 INFO Progress 8200/11740 — posted: 8200, failed: 0
2026-06-18 17:06:17,887 INFO Progress 8300/11740 — posted: 8300, failed: 0
2026-06-18 17:09:10,576 INFO Progress 8400/11740 — posted: 8400, failed: 0
2026-06-18 17:12:03,845 INFO Progress 8500/11740 — posted: 8500, failed: 0
2026-06-18 17:14:45,789 INFO Progress 8600/11740 — posted: 8600, failed: 0
2026-06-18 17:17:16,789 INFO Progress 8700/11740 — posted: 8700, failed: 0
2026-06-18 17:20:08,194 INFO Progress 8800/11740 — posted: 8800, failed: 0
2026-06-18 17:22:44,617 INFO Progress 8900/11740 — posted: 8900, failed: 0
2026-06-18 17:25:23,575 INFO Progress 9000/11740 — posted: 9000, failed: 0
2026-06-18 17:27:59,510 INFO Progress 9100/11740 — posted: 9100, failed: 0
2026-06-18 17:30:28,547 INFO Progress 9200/11740 — posted: 9200, failed: 0
2026-06-18 17:33:20,940 INFO Progress 9300/11740 — posted: 9300, failed: 0
2026-06-18 17:35:58,481 INFO Progress 9400/11740 — posted: 9400, failed: 0
2026-06-18 17:38:48,444 INFO Progress 9500/11740 — posted: 9500, failed: 0
2026-06-18 17:41:25,321 INFO Progress 9600/11740 — posted: 9600, failed: 0
2026-06-18 17:44:43,394 INFO Progress 9700/11740 — posted: 9700, failed: 0
2026-06-18 17:47:09,080 INFO Progress 9800/11740 — posted: 9800, failed: 0
2026-06-18 17:49:57,248 INFO Progress 9900/11740 — posted: 9900, failed: 0
2026-06-18 17:53:43,870 INFO Progress 10000/11740 — posted: 10000, failed: 0
2026-06-18 17:57:12,190 INFO Progress 10100/11740 — posted: 10100, failed: 0
2026-06-18 17:57:51,700 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Read timed out. (read timeout=30) (attempt 1/3)
2026-06-18 18:00:50,705 INFO Progress 10200/11740 — posted: 10200, failed: 0
2026-06-18 18:03:49,544 INFO Progress 10300/11740 — posted: 10300, failed: 0
2026-06-18 18:06:53,532 INFO Progress 10400/11740 — posted: 10400, failed: 0
2026-06-18 18:11:18,044 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Read timed out. (read timeout=30) (attempt 1/3)
2026-06-18 18:22:17,773 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Read timed out. (read timeout=30) (attempt 2/3)
2026-06-18 18:22:21,791 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 3/3)
2026-06-18 18:22:21,797 ERROR Seeqe callback failed for https://www.linkedin.com/in/ACwAABXChK8BIScJ3jHpaJsuT2ULimP6vkGXFmg after 3 attempts: Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)"))
2026-06-18 18:22:21,804 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 1/3)
2026-06-18 18:22:23,830 WARNING Seeqe callback network error: HTTPSConnectionPool(host='api-dev.cloud.seeqe.dev', port=443): Max retries exceeded with url: /api/v1/person/email/integration/granite/callback (Caused by NameResolutionError("HTTPSConnection(host='api-dev.cloud.seeqe.dev', port=443): Failed to resolve 'api-dev.cloud.seeqe.dev' ([Errno 8] nodename nor servname provided, or not known)")) (attempt 2/3)
2026-06-18 18:22:31,188 INFO Progress 10500/11740 — posted: 10499, failed: 1
2026-06-18 18:25:54,605 INFO Progress 10600/11740 — posted: 10599, failed: 1
2026-06-18 18:29:08,254 INFO Progress 10700/11740 — posted: 10699, failed: 1
2026-06-18 18:32:11,761 INFO Progress 10800/11740 — posted: 10799, failed: 1
2026-06-18 18:35:27,076 INFO Progress 10900/11740 — posted: 10899, failed: 1
2026-06-18 18:38:37,098 INFO Progress 11000/11740 — posted: 10999, failed: 1
2026-06-18 18:42:10,842 INFO Progress 11100/11740 — posted: 11099, failed: 1
2026-06-18 18:45:49,355 INFO Progress 11200/11740 — posted: 11199, failed: 1
2026-06-18 18:49:07,451 INFO Progress 11300/11740 — posted: 11299, failed: 1
2026-06-18 18:52:38,703 INFO Progress 11400/11740 — posted: 11399, failed: 1
2026-06-18 18:55:43,943 INFO Progress 11500/11740 — posted: 11499, failed: 1
2026-06-18 18:58:55,524 INFO Progress 11600/11740 — posted: 11599, failed: 1
2026-06-18 19:02:05,260 INFO Progress 11700/11740 — posted: 11699, failed: 1
2026-06-18 19:03:21,161 INFO Progress 11740/11740 — posted: 11739, failed: 1
2026-06-18 19:03:21,162 INFO Done — posted: 11739, failed: 1, skipped: 2608
